実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
4- 6.,"469,175.1 ","262,250.2 ","256,902.8 ","217,802.0 ","26,877.7 ","73,817.0 ","-3,777.3 ","81,531.9 ","47,688.7 ",-7.6 ,"-11,523.6 ","45,110.8 ","56,634.4 ","-7,681.9 ",,"19,923.9 ","489,098.9 ","6,237.3 ","10,158.3 ","3,921.1 ","495,336.2 ",,"486,015.7 ","359,149.1 ","127,192.8 ",,"145,868.1 ",,"472,000.9 ",,,
7- 9.,"471,675.4 ","264,067.4 ","258,536.2 ","219,184.2 ","27,140.0 ","73,391.8 ","-3,443.1 ","82,477.7 ","46,226.8 ",-9.8 ,"-11,020.1 ","47,048.8 ","58,068.9 ","-7,155.3 ",,"18,979.7 ","490,655.2 ","6,342.2 ","9,961.1 ","3,619.0 ","496,997.3 ",,"487,565.9 ","361,061.7 ","126,795.2 ",,"144,329.7 ",,"474,198.5 ",,,
10-12.,"471,846.4 ","264,799.2 ","259,296.1 ","219,703.5 ","26,009.4 ","74,183.8 ","-3,570.0 ","82,803.7 ","46,011.9 ",-387.8 ,"-11,687.1 ","48,122.7 ","59,809.8 ","-6,316.6 ",,"20,092.9 ","491,939.3 ","6,656.5 ","10,163.8 ","3,507.3 ","498,595.8 ",,"487,876.0 ","361,519.2 ","126,634.9 ",,"143,978.6 ",,"474,751.7 ",,,
2000/ 1- 3.,"479,857.5 ","266,285.3 ","261,034.1 ","221,194.6 ","26,274.5 ","76,969.7 ","-1,610.0 ","83,856.7 ","43,485.3 ",179.8 ,"-9,119.8 ","50,708.3 ","59,828.1 ","-6,464.1 ",,"18,312.1 ","498,169.7 ","6,355.1 ","10,531.1 ","4,175.9 ","504,524.8 ",,"493,598.7 ","367,928.9 ","125,823.5 ",,"144,917.1 ",,"480,609.3 ",,,
4- 6.,"482,130.7 ","265,904.6 ","260,989.1 ","220,907.5 ","26,955.1 ","75,878.9 ","1,321.9 ","84,866.8 ","43,188.5 ",40.0 ,"-9,887.5 ","52,332.5 ","62,220.0 ","-6,137.5 ",,"19,086.6 ","501,217.4 ","7,696.4 ","11,319.4 ","3,623.0 ","508,913.8 ",,"495,997.1 ","369,688.9 ","126,462.0 ",,"144,091.6 ",,"480,397.9 ",,,
7- 9.,"482,254.0 ","266,396.7 ","261,722.4 ","221,391.2 ","26,428.3 ","78,476.9 ","-1,031.7 ","85,490.9 ","42,388.0 ",-47.8 ,"-10,673.8 ","53,199.0 ","63,872.8 ","-5,173.6 ",,"18,700.3 ","500,954.3 ","7,662.4 ","11,411.8 ","3,749.4 ","508,616.7 ",,"496,407.6 ","370,266.0 ","126,281.6 ",,"145,671.8 ",,"482,666.8 ",,,
10-12.,"486,940.9 ","269,680.9 ","265,040.7 ","224,446.5 ","26,973.2 ","80,839.1 ",268.1 ,"86,040.0 ","41,065.0 ",-73.5 ,"-13,228.8 ","52,968.2 ","66,197.0 ","-4,623.1 ",,"19,353.6 ","506,294.5 ","7,671.5 ","11,818.6 ","4,147.2 ","513,966.0 ",,"503,243.0 ","377,670.4 ","125,589.4 ",,"147,485.3 ",,"486,222.9 ",,,
2001/ 1- 3.,"490,555.9 ","271,294.6 ","266,482.6 ","225,644.7 ","26,979.7 ","81,265.8 ","2,148.9 ","86,182.0 ","43,063.9 ",17.8 ,"-15,263.5 ","51,054.3 ","66,317.8 ","-5,133.4 ",,"19,229.3 ","509,785.2 ","7,944.2 ","12,164.8 ","4,220.7 ","517,729.3 ",,"509,055.2 ","381,446.6 ","127,663.1 ",,"149,747.6 ",,"488,099.7 ",,,
4- 6.,"486,874.1 ","273,501.2 ","268,476.4 ","227,406.1 ","25,460.8 ","79,098.7 ","2,335.4 ","86,934.9 ","40,507.8 ",-213.9 ,"-15,717.3 ","49,153.9 ","64,871.2 ","-5,033.5 ",,"17,984.6 ","504,858.7 ","7,746.8 ","11,766.4 ","4,019.7 ","512,605.5 ",,"506,087.0 ","380,241.7 ","125,851.6 ",,"143,755.6 ",,"484,445.3 ",,,
7- 9.,"481,569.6 ","273,340.9 ","268,190.8 ","226,887.9 ","25,326.4 ","77,644.1 ","-2,165.2 ","87,082.4 ","40,511.4 ",-243.2 ,"-14,882.1 ","48,073.1 ","62,955.2 ","-5,045.0 ",,"17,670.2 ","499,239.8 ","7,671.6 ","11,484.1 ","3,812.5 ","506,911.4 ",,"500,249.4 ","374,347.5 ","125,981.8 ",,"142,089.1 ",,"483,148.1 ",,,
