åŸópé“ïÒèV,,,,,,,,,,,,(íPà :10â≠â~ÅA%)
Compensation of Employees,,,,,,,,,,,,"(Billion Yen, %)"
,ñºñ⁄,,,,é¿éø(2020óÔîNòAçΩâøäiÅAâ∆åvç≈èIè¡îÔéxèoÅièúÇ≠éùÇøâ∆ÇÃãAëÆâ∆í¿ãyÇ—FISIMÅjÉfÉtÉåÅ[É^Å[Ç≈é¿éøâª),,,,é¿éø(2020óÔîNòAçΩâøäiÅAâ∆åvç≈èIè¡îÔéxèoÉfÉtÉåÅ[É^Å[Ç≈é¿éøâª),,,
,Nominal,,,,"Real (Chained (2020) Yen, using Consumption of Households (excluding Imputed Rent and FISIM) Deflator)",,,,"Real (Chained (2020) Yen, using Consumption of Households Deflator)",,,
,å¥ånóÒ,,ãGêﬂí≤êÆånóÒ,,å¥ånóÒ,,ãGêﬂí≤êÆånóÒ,,å¥ånóÒ,,ãGêﬂí≤êÆånóÒ,
,Original Series,,Seasonally Adjusted Series,,Original Series,,Seasonally Adjusted Series,,Original Series,,Seasonally Adjusted Series,
,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶
,Level,(*),Level,(**),Level,(*),Level,(**),Level,(*),Level,(**)
1994/ 1- 3.,"53,536.9 ",,"257,726.0 ",,"51,021.5 ",,"244,374.2 ",,"51,170.0 ",,"245,229.1 ",
4- 6.,"66,257.8 ",,"263,992.3 ",2.4 ,"62,463.4 ",,"249,653.1 ",2.2 ,"62,629.7 ",,"250,185.0 ",2.0 
7- 9.,"63,427.4 ",,"259,824.1 ",-1.6 ,"60,281.5 ",,"246,498.7 ",-1.3 ,"60,314.6 ",,"246,722.1 ",-1.4 
10-12.,"78,403.7 ",,"263,914.1 ",1.6 ,"74,056.7 ",,"250,166.3 ",1.5 ,"74,100.2 ",,"250,187.5 ",1.4 
1995/ 1- 3.,"54,735.3 ",2.2 ,"263,230.4 ",-0.3 ,"52,315.4 ",2.5 ,"250,235.9 ",0.0 ,"52,269.5 ",2.1 ,"250,183.4 ",-0.0 
4- 6.,"66,376.0 ",0.2 ,"264,516.5 ",0.5 ,"63,188.5 ",1.2 ,"252,787.7 ",1.0 ,"63,113.2 ",0.8 ,"252,342.6 ",0.9 
7- 9.,"65,099.7 ",2.6 ,"266,549.6 ",0.8 ,"62,437.1 ",3.6 ,"255,131.1 ",0.9 ,"62,160.6 ",3.1 ,"254,095.6 ",0.7 
10-12.,"79,793.2 ",1.8 ,"269,187.5 ",1.0 ,"76,185.5 ",2.9 ,"257,931.3 ",1.1 ,"75,747.1 ",2.2 ,"256,280.4 ",0.9 
1996/ 1- 3.,"55,827.7 ",2.0 ,"267,657.1 ",-0.6 ,"53,883.4 ",3.0 ,"257,184.6 ",-0.3 ,"53,408.1 ",2.2 ,"255,050.3 ",-0.5 
4- 6.,"67,538.1 ",1.8 ,"269,168.2 ",0.6 ,"64,517.4 ",2.1 ,"258,115.2 ",0.4 ,"63,986.6 ",1.4 ,"255,855.7 ",0.3 
7- 9.,"66,478.7 ",2.1 ,"272,169.9 ",1.1 ,"63,940.3 ",2.4 ,"261,312.5 ",1.2 ,"63,319.8 ",1.9 ,"258,871.2 ",1.2 
10-12.,"80,847.0 ",1.3 ,"273,460.9 ",0.5 ,"77,288.2 ",1.4 ,"262,416.1 ",0.4 ,"76,555.9 ",1.1 ,"259,757.8 ",0.3 
1997/ 1- 3.,"58,099.8 ",4.1 ,"277,481.3 ",1.5 ,"56,116.6 ",4.1 ,"266,377.6 ",1.5 ,"55,445.6 ",3.8 ,"263,403.7 ",1.4 
4- 6.,"69,943.1 ",3.6 ,"278,644.4 ",0.4 ,"65,867.1 ",2.1 ,"263,473.3 ",-1.1 ,"65,244.6 ",2.0 ,"260,809.4 ",-1.0 
7- 9.,"68,315.5 ",2.8 ,"279,888.6 ",0.4 ,"64,725.0 ",1.2 ,"264,662.9 ",0.5 ,"64,006.3 ",1.1 ,"261,838.2 ",0.4 
10-12.,"82,394.2 ",1.9 ,"279,471.8 ",-0.1 ,"77,715.8 ",0.6 ,"264,659.6 ",-0.0 ,"76,869.7 ",0.4 ,"261,604.7 ",-0.1 
1998/ 1- 3.,"58,402.8 ",0.5 ,"277,786.4 ",-0.6 ,"55,804.6 ",-0.6 ,"263,849.5 ",-0.3 ,"55,046.6 ",-0.7 ,"260,489.8 ",-0.4 
4- 6.,"69,381.8 ",-0.8 ,"276,007.0 ",-0.6 ,"65,738.0 ",-0.2 ,"262,513.0 ",-0.5 ,"64,924.7 ",-0.5 ,"259,108.0 ",-0.5 
7- 9.,"66,600.3 ",-2.5 ,"273,266.9 ",-1.0 ,"63,676.0 ",-1.6 ,"260,733.6 ",-0.7 ,"62,767.6 ",-1.9 ,"257,125.6 ",-0.8 
10-12.,"80,188.4 ",-2.7 ,"272,945.0 ",-0.1 ,"75,810.8 ",-2.5 ,"259,180.9 ",-0.6 ,"74,857.5 ",-2.6 ,"255,723.0 ",-0.5 
1999/ 1- 3.,"57,200.8 ",-2.1 ,"270,750.8 ",-0.8 ,"54,973.1 ",-1.5 ,"258,727.4 ",-0.2 ,"54,159.9 ",-1.6 ,"255,117.0 ",-0.2 
4- 6.,"67,704.8 ",-2.4 ,"268,947.7 ",-0.7 ,"64,499.0 ",-1.9 ,"257,138.0 ",-0.6 ,"63,641.5 ",-2.0 ,"253,568.1 ",-0.6 
7- 9.,"65,516.2 ",-1.6 ,"269,207.8 ",0.1 ,"62,935.7 ",-1.2 ,"257,938.2 ",0.3 ,"62,028.0 ",-1.2 ,"254,351.2 ",0.3 
10-12.,"78,831.4 ",-1.7 ,"269,232.2 ",0.0 ,"75,420.6 ",-0.5 ,"258,743.4 ",0.3 ,"74,377.1 ",-0.6 ,"254,959.1 ",0.2 
2000/ 1- 3.,"57,125.6 ",-0.1 ,"269,366.6 ",0.0 ,"55,376.2 ",0.7 ,"260,046.0 ",0.5 ,"54,487.0 ",0.6 ,"256,028.9 ",0.4 
4- 6.,"67,864.3 ",0.2 ,"269,018.2 ",-0.1 ,"65,417.7 ",1.4 ,"260,136.7 ",0.0 ,"64,394.9 ",1.2 ,"255,941.3 ",-0.0 
7- 9.,"65,590.2 ",0.1 ,"269,983.1 ",0.4 ,"63,796.5 ",1.4 ,"262,031.1 ",0.7 ,"62,713.4 ",1.1 ,"257,692.6 ",0.7 
10-12.,"79,311.8 ",0.6 ,"271,717.7 ",0.6 ,"76,865.0 ",1.9 ,"264,544.0 ",1.0 ,"75,657.3 ",1.7 ,"260,166.6 ",1.0 
